VideoCompletes,SocialLikes,SocialShares,conversion
450257,164,0,160
449292,175,3,8
444411,175,3,13
444014,161,3,90
453712,205,4,0
440783,205,4,23
426333,143,4,63
424580,149,11,0
427413,149,11,16
427690,142,11,102
427733,158,11,0
605379,157,11,40
619571,154,11,17
486437,158,11,7
468757,152,11,117
462455,161,11,0
465093,162,11,22
465107,158,11,159
472666,189,11,0
471729,187,11,40
459299,140,11,38
455627,149,11,1
456359,149,11,9
456746,149,11,64
452573,160,11,0
605444,159,11,25
616331,167,11,0
434262,165,11,17
420387,160,11,59
417138,162,11,0
421274,162,11,3
420757,151,8,74
430254,215,8,3
432872,217,8,37
423271,173,7,7
420024,181,11,0
420650,181,11,47
420889,172,4,81
416942,181,4,0
597582,181,4,24
623986,173,9,13
442851,177,9,25
428525,176,9,43
430400,182,9,3
430164,188,9,8
430285,181,9,79
440073,216,10,0
443816,218,10,39
434863,187,10,83
432584,219,10,0
434335,219,10,47
441824,210,10,17
440281,216,10,0
601371,216,10,16
625192,219,10,0
476248,219,10,20
458739,215,10,33
458099,221,10,0
458817,222,10,13
457918,221,10,156
464642,259,12,0
469026,260,12,7
457132,196,12,12
456221,203,13,4
467624,203,13,33
468591,196,9,71
466588,203,9,1
710535,200,9,69
737093,211,9,1
556032,212,9,22
529227,204,4,69
528542,202,4,2
528451,204,4,9
526147,194,4,92
533955,223,5,20
534773,221,5,26
523046,185,4,53
519291,193,4,0
520010,195,4,22
520680,163,4,179
518808,168,4,5
752414,170,4,69
770608,175,7,0
611927,175,7,11
588107,161,7,138
583554,168,7,0
582719,163,7,3
589652,157,7,66
600985,186,7,0
601340,186,7,38
589864,148,5,95
585389,151,6,0
586857,151,6,7
585147,142,5,111
572894,145,5,3
745811,144,5,32
763547,139,5,0
522121,146,5,29
495575,125,6,107
495493,130,6,0
500447,130,6,0
498822,128,6,88
508589,167,6,0
509591,167,6,0
499937,132,5,46
498998,143,5,0
498922,143,5,5
501242,133,5,73
500867,154,5,1
500535,154,5,1
517552,152,5,0
278413,150,5,17
262085,139,2,99
258623,147,2,3
258622,147,2,48
257895,140,2,51
267169,154,2,3
261844,154,2,0
249787,124,2,12
249389,130,2,0
249389,130,2,0
249830,130,1,52
248362,133,2,0
248362,133,2,6
268475,132,3,4
94591,132,3,0
77226,132,3,105
75547,128,3,0
76610,128,2,0
93359,122,2,141
94023,141,2,3
93623,142,2,0
84318,101,2,16
83316,115,2,0
83470,115,2,0
90701,104,2,75
91950,111,2,2
89628,111,2,11
107817,89,2,0
107479,89,2,0
91713,87,2,100
89757,92,2,2
88354,92,2,0
89472,85,2,31
100733,109,2,0
100829,109,2,0
91099,94,2,28
89491,101,2,31
89977,101,2,0
89983,94,2,146
89983,113,47,0
89957,111,47,10
114368,111,46,2
116411,111,46,14
103702,113,45,84
103729,118,45,0
104006,116,45,2
106942,113,45,45
116058,135,46,7
103434,135,46,8
99137,116,46,20
99137,119,46,0
105920,119,46,12
108328,105,46,67
107683,115,47,0
115233,115,47,2
123474,117,47,0
129956,119,47,11
111906,118,47,128
111909,120,51,0
114777,119,51,20
116571,114,51,24
129580,179,53,22
129779,178,53,1
118791,154,53,30
121612,170,56,0
123434,171,56,22
123449,164,56,141
122960,168,57,1
196864,169,57,5
206880,158,12,1
211256,156,12,0
186953,153,12,76
184910,173,13,2
182362,169,13,11
183504,164,13,143
202425,229,15,4
200774,230,15,8
193063,208,14,151
189623,229,14,0
188297,230,14,1
189427,226,14,91
182182,228,14,3
247634,229,14,29
