VideoCompletes,SocialLikes,SocialShares,CTR,conversion,AudienceType,AdDigitalChannel
58750.0,0.0,0.0,0.361494846845468,6,Audience Type 5,Programmatic Display
65110.0,0.0,0.0,0.36326607616185674,30,Audience Type 5,Programmatic Display
66552.0,0.0,0.0,0.3658792984419192,7,Audience Type 5,Programmatic Display
68094.0,0.0,0.0,0.36975659558639185,9,Audience Type 5,Programmatic Display
67863.0,0.0,0.0,0.37222055138368104,23,Audience Type 5,Programmatic Display
65397.0,0.0,0.0,0.3721103167558493,0,Audience Type 5,Programmatic Display
63326.0,0.0,0.0,0.3710463436918763,0,Audience Type 5,Programmatic Display
58953.0,0.0,0.0,0.3712116876072201,0,Audience Type 5,Programmatic Display
57938.0,0.0,0.0,0.3719365906991226,0,Audience Type 5,Programmatic Display
54107.0,0.0,0.0,0.3747765274100271,0,Audience Type 5,Programmatic Display
52979.0,0.0,0.0,0.37538713482142166,0,Audience Type 5,Programmatic Display
50097.0,0.0,0.0,0.3756257104470632,0,Audience Type 5,Programmatic Display
45739.0,0.0,0.0,0.3747335337083611,0,Audience Type 5,Programmatic Display
43867.0,0.0,0.0,0.3735832427121269,0,Audience Type 5,Programmatic Display
43995.0,0.0,0.0,0.3669698552708397,6,Audience Type 5,Programmatic Display
43086.0,0.0,0.0,0.35965510361936137,18,Audience Type 5,Programmatic Display
41863.0,0.0,0.0,0.3536747536776587,5,Audience Type 5,Programmatic Display
40478.0,0.0,0.0,0.34636147291356084,0,Audience Type 5,Programmatic Display
39709.0,0.0,0.0,0.33930066146133864,0,Audience Type 5,Programmatic Display
37224.0,0.0,0.0,0.33491294762846985,23,Audience Type 5,Programmatic Display
33646.0,0.0,0.0,0.3306819016219669,19,Audience Type 5,Programmatic Display
31637.0,0.0,0.0,0.32706790700451205,28,Audience Type 5,Programmatic Display
30641.0,1.0,0.0,0.3228668267815306,110,Audience Type 5,Programmatic Display
30718.0,3.0,0.0,0.3161574277709001,154,Audience Type 5,Programmatic Display
32630.0,3.0,0.0,0.309765022707609,8,Audience Type 5,Programmatic Display
30382.0,3.0,0.0,0.30380831808054426,84,Audience Type 5,Programmatic Display
28339.0,3.0,0.0,0.29985776345905096,182,Audience Type 5,Programmatic Display
31265.0,3.0,0.0,0.29460470761532315,112,Audience Type 5,Programmatic Display
31658.0,3.0,0.0,0.2898773263965568,66,Audience Type 5,Programmatic Display
30923.0,3.0,0.0,0.2855341441465589,110,Audience Type 5,Programmatic Display
29898.0,3.0,0.0,0.27917398472266836,22,Audience Type 5,Programmatic Display
25202.0,3.0,0.0,0.2721356906650659,38,Audience Type 5,Programmatic Display
23760.0,3.0,0.0,0.26659033458118947,97,Audience Type 5,Programmatic Display
21634.0,3.0,0.0,0.2624207451444245,252,Audience Type 5,Programmatic Display
19306.0,3.0,0.0,0.2574133990166133,64,Audience Type 5,Programmatic Display
19306.0,3.0,0.0,0.25425764028025605,301,Audience Type 5,Programmatic Display
20603.0,3.0,0.0,0.251309360489871,123,Audience Type 5,Programmatic Display
20610.0,6.0,0.0,0.24534151237983395,254,Audience Type 5,Programmatic Display
20610.0,7.0,0.0,0.23973493260459872,33,Audience Type 5,Programmatic Display
20333.0,7.0,0.0,0.23542834090334547,152,Audience Type 5,Programmatic Display
20333.0,7.0,0.0,0.2330627385540389,106,Audience Type 5,Programmatic Display
20333.0,7.0,0.0,0.23039956803319023,341,Audience Type 5,Programmatic Display
20977.0,9.0,0.0,0.22784397292932615,137,Audience Type 5,Programmatic Display
21251.0,10.0,0.0,0.22723264997362644,169,Audience Type 5,Programmatic Display
20008.0,10.0,0.0,0.22954511760878898,149,Audience Type 5,Programmatic Display
26265.0,10.0,0.0,0.23136917105374458,43,Audience Type 5,Programmatic Display
27148.0,10.0,0.0,0.23544068320267716,120,Audience Type 5,Programmatic Display
27148.0,10.0,0.0,0.23274578905066956,4,Audience Type 5,Programmatic Display
28196.0,10.0,0.0,0.22958522620471428,4,Audience Type 5,Programmatic Display
28199.0,10.0,0.0,0.2253217904974731,2,Audience Type 5,Programmatic Display
28199.0,11.0,0.0,0.22189034533084656,4,Audience Type 5,Programmatic Display
28199.0,11.0,0.0,0.21931435366572255,1,Audience Type 5,Programmatic Display
